"update_id";"apt_one_bdrm_ctr";"apt_one_bdrm_out";"apt_three_bdrm_ctr";"apt_three_bdrm_out"
7;184.05;105.44;357.16;216.59
14;659.78;443.64;1342.49;874.94
21;848.82;539.32;1718.15;1298.5
28;354.54;176.07;949.49;427.87
35;393.94;345.08;759.0;716.94
42;453.04;265.41;806.96;464.62
49;1962.92;1511.73;3605.5;2254.74
56;343.82;236.52;696.61;485.21
63;322.22;361.11;812.5;600.0
70;2082.19;1485.47;4114.71;2670.45
77;1859.39;1446.36;3930.36;2530.5
84;570.88;400.73;1243.1;864.03
91;2174.74;1741.67;3881.82;3171.43
98;1512.9;1244.7;2642.78;1972.11
105;2623.08;2082.28;4709.09;3531.81
112;2692.15;1967.68;4817.12;3236.0
119;361.82;285.66;642.54;537.09
126;1112.58;835.6;1867.24;1393.24
133;3759.58;2574.26;7619.82;4193.69
140;1319.23;1178.5;2214.79;1796.66
147;541.88;504.68;1013.67;943.17
154;417.85;298.2;875.62;629.81
161;870.33;510.29;1687.39;1097.98
168;2050.38;1769.48;4082.14;2703.17
175;1833.77;1580.67;3008.13;2491.66
182;1900.68;1595.58;3456.74;2646.62
189;619.07;406.24;1186.69;816.67
196;650.55;330.15;1713.41;1025.54
203;670.74;305.22;1839.2;931.5
210;975.48;601.19;2626.27;1335.23
217;344.6;224.35;746.63;444.0
224;245.01;148.22;630.29;353.1
231;138.23;83.78;362.22;189.91
238;1944.31;1160.53;3588.82;2237.52
245;373.82;209.21;926.84;477.25
252;512.39;338.6;1243.04;701.32
259;664.48;440.09;1179.42;763.06
266;497.21;286.13;1335.33;696.26
273;1400.06;1038.46;2185.82;1731.1
280;1676.29;1269.66;2955.49;2096.46
287;1446.47;1188.51;3035.65;2189.06
294;974.58;626.22;1339.99;889.08
301;491.67;356.14;1098.75;756.81
308;147.65;90.59;381.6;236.86
315;463.87;293.16;927.16;511.49
322;545.78;268.03;1593.27;690.49
329;556.61;322.76;1485.37;801.96
336;312.56;150.23;665.96;315.17
343;466.23;516.9;1292.25;1164.62
350;817.45;571.49;2767.95;1701.84
357;970.77;534.81;2820.78;1445.99
364;3689.12;2371.92;6826.72;4107.58
371;614.07;432.67;1517.13;1111.48
378;1007.36;594.3;2251.61;1180.76
385;2629.95;1847.05;4700.28;3316.59
392;1322.2;1129.09;2115.51;1671.68
399;1616.11;1389.65;2419.1;2006.35
406;1833.94;1321.78;2924.46;2164.33
413;2575.45;1814.18;4981.77;3177.67
420;1794.66;1486.69;2861.67;2149.15
427;1316.51;1016.65;3068.22;2093.78
434;1446.93;1037.19;2278.16;1597.87
441;2109.43;1812.91;3835.69;3029.9
448;1025.01;829.6;1997.77;1414.4
455;1455.15;1138.75;2572.46;1960.17
462;1429.0;974.36;2980.29;1878.19
469;1452.03;1134.25;2296.69;1790.68
476;1050.2;882.54;1838.53;1637.22
483;1202.02;882.5;2273.02;1365.92
490;1002.62;705.66;1808.21;1103.35
497;1396.45;945.06;2525.06;1695.77
504;952.38;684.43;1759.96;1166.98
511;1173.03;748.57;2281.65;1400.05
518;918.17;706.96;1649.02;1183.33
525;695.8;422.48;1313.47;839.54
532;1073.34;812.35;1802.19;1318.99
539;1170.94;905.43;1908.64;1412.55
546;550.08;510.62;1015.07;962.84
553;886.82;639.75;1479.11;971.76
560;1084.93;810.68;1994.81;1414.24
567;1332.73;859.43;2513.62;1547.39
574;921.94;712.52;1686.81;1100.63
581;492.68;371.86;876.55;605.37
588;512.6;357.47;946.6;630.36
595;919.66;702.4;1828.67;1279.68
602;819.94;480.98;1617.95;910.58
609;597.2;462.16;1073.31;769.45
616;819.97;532.59;1378.97;869.84
623;488.95;308.77;1030.44;616.79
630;2155.97;1553.58;4479.77;2723.7
637;1325.4;1188.17;2423.26;1945.34
644;1543.04;1238.09;2938.28;1929.59
651;610.86;293.49;1551.39;698.13
658;183.61;120.43;378.41;239.54
665;1565.43;1447.06;2687.72;2228.15
672;2229.26;1641.19;4435.78;2862.92
679;540.32;349.14;1192.48;740.22
686;402.37;242.0;609.33;470.31
693;524.56;336.16;987.39;690.13
